concessionaria,ano_do_pnv_snv,tipo_de_radar,rodovia,uf,km_m,municipio,tipo_pista,sentido,situacao,data_da_inativacao,latitude,longitude,velocidade_leve
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,SP,"78,200","São Paulo",Principal,Crescente,Ativo,,"-23,401335","-46,575964",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,SP,"76,400","São Paulo",Principal,Decrescente,Ativo,,"-23,387687","-46,569328",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,SP,"75,650","São Paulo",Principal,Crescente,Ativo,,"-23,384708","-46,564716",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,SP,"73,060","São Paulo",Principal,Decrescente,Ativo,,"-23,368741","-46,554044",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,SP,"70,200",Mairiporã,Principal,Decrescente,Ativo,,"-23,349188","-46,556532",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,SP,"59,795",Mairiporã,Principal,Crescente,Ativo,,"-23,289138","-46,587920",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,MG,"923,380",Camanducaia,Principal,Crescente,Ativo,,"-22,774380","-46,185834",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,MG,"920,800",Camanducaia,Principal,Crescente,Ativo,,"-22,760561","-46,167674",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,MG,"907,720",Cambuí,Principal,Decrescente,Ativo,,"-22,676048","-46,098030",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,MG,"886,250",Estiva,Principal,Decrescente,Ativo,,"-22,510753","-46,018149",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,MG,"712,760","Carmo da Cachoeira",Principal,Decrescente,Ativo,,"-21,372782","-45,190037",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,MG,"653,740","Santo Antônio do Amparo",Principal,Crescente,Ativo,,"-20,921689","-44,871470",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,MG,"643,224","Santo Antônio do Amparo",Principal,Crescente,Ativo,,"-20,921689","-44,871470",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,MG,"618,360",Oliveira,Principal,Decrescente,Ativo,,"-20,740356","-44,771520",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,MG,"568,890",Itaguara,Principal,Decrescente,Ativo,,"-20,410679","-44,526628",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,MG,"528,350",Brumadinho,Principal,Decrescente,Ativo,,"-20,167194","-44,334434",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,MG,"525,350",Brumadinho,Principal,Crescente,Ativo,,"-20,146664","-44,323897",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,MG,"493,290",Betim,Principal,Crescente,Ativo,,"-19,964349","-44,171924",80
"AUTOPISTA FERNÃO DIAS",2007,Controlador,BR-381,MG,"483,700",Betim,Principal,Crescente,Ativo,,"-19,959486","-44,085386",80
"AUTOPISTA FLUMINENSE",2019,Controlador,BR-101,RJ,"316,400","São Gonçalo",Principal,Crescente,Ativo,,"-22,830783","-43,093638",100
"AUTOPISTA FLUMINENSE",2019,Controlador,BR-101,RJ,"314,400","São Gonçalo",Principal,Crescente,Ativo,,"-22,817695","-43,079165",100
"AUTOPISTA FLUMINENSE",2019,Controlador,BR-101,RJ,"313,000","São Gonçalo",Principal,Decrescente,Ativo,,"-22,809907","-43,068761",100
"AUTOPISTA FLUMINENSE",2019,Controlador,BR-101,RJ,"298,650",Itaboraí,Principal,Decrescente,Ativo,,"-22,773498","-42,935548",100
"AUTOPISTA FLUMINENSE",2019,Controlador,BR-101,RJ,"298,300",Itaboraí,Principal,Crescente,Ativo,,"-22,772149","-42,933291",100
"AUTOPISTA FLUMINENSE",2019,Controlador,BR-101,RJ,"293,700",Itaboraí,Principal,Decrescente,Ativo,,"-22,755202","-42,890633",60
"AUTOPISTA FLUMINENSE",2019,Controlador,BR-101,RJ,"293,500",Itaboraí,Principal,Crescente,Ativo,,"-22,755539","-42,888149",60
"AUTOPISTA FLUMINENSE",2019,Controlador,BR-101,RJ,"283,310",Itaboraí,Principal,Decrescente,Ativo,,"-22,738801","-42,806988",60
"AUTOPISTA FLUMINENSE",2019,Controlador,BR-101,RJ,"282,560",Itaboraí,Principal,Crescente,Ativo,,"-22,735698","-42,801862",60
"AUTOPISTA FLUMINENSE",2019,Controlador,BR-101,RJ,"184,600","Casimiro de Abreu",Principal,Crescente,Ativo,,"-22,429729","-42,031134",80
"AUTOPISTA FLUMINENSE",2019,Controlador,BR-101,RJ,"55,520","Campos dos Goytacazes",Principal,Decrescente,Ativo,,"-21,683290","-41,310890",60
"AUTOPISTA FLUMINENSE",2019,Controlador,BR-101,RJ,"55,389","Campos dos Goytacazes",Principal,Crescente,Ativo,,"-21,681822","-41,310949",60
"AUTOPISTA FLUMINENSE",2019,Controlador,BR-101,RJ,"58,805","Campos dos Goytacazes",Principal,Decrescente,Ativo,,"-21,713412","-41,308561",60
"AUTOPISTA LITORAL SUL",2009,Redutor,BR-101,SC,"215,550",Palhoça,Marginal,Decrescente,Ativo,,"-27,656133","-48,678472",60
"AUTOPISTA LITORAL SUL",2009,Redutor,BR-101,SC,"215,050",Palhoça,Marginal,Crescente,Ativo,,"-27,651111","-48,675542",60
"AUTOPISTA LITORAL SUL",2009,Redutor,BR-101,SC,"213,850",Palhoça,Marginal,Decrescente,Ativo,,"-27,643475","-48,669875",60
"AUTOPISTA LITORAL SUL",2009,Redutor,BR-101,SC,"213,660",Palhoça,Marginal,Crescente,Ativo,,"-27,642081","-48,668847",60
"AUTOPISTA LITORAL SUL",2009,Redutor,BR-101,SC,"213,290",Palhoça,Marginal,Crescente,Ativo,,"-27,639242","-48,666750",40
